123 application-vnd.lotus-1-2-3
slt application-vnd.epson.salt
sm application-vnd.stepmania.stepchart
smf application-vnd.stardivision.math
smi application-smil
smil application-smil
smv video
smzip application-vnd.stepmania.package
snd audio-basic
snf application-x-font-snf
so application-octet-stream
spc chemical-x-galactic-spc
spf application-vnd.yamaha.smaf-phrase
spl application-futuresplash
spot text-vnd.in3d.spot
spp application-scvp-vp-response
spq application-scvp-vp-request
spx audio-ogg
sql application-x-sql
src application-x-wais-source
srt text-plain
sru application-sru+xml
srx application-sparql-results+xml
ssdl application-ssdl+xml
sse application-vnd.kodak-descriptor
ssf application-vnd.epson.ssf
ssml application-ssml+xml
st application-vnd.sailingtracker.track
stc application-vnd.sun.xml.calc.template
std application-vnd.sun.xml.draw.template
s text-x-asm
stf application-vnd.wt.stf
sti application-vnd.sun.xml.impress.template
stk application-hyperstudio
stl application-sla
str application-vnd.pg.format
stw application-vnd.sun.xml.writer.template
sty text-x-tex
sub text-vnd.dvb.subtitle
sus application-vnd.sus-calendar
susp application-vnd.sus-calendar
sv4cpio application-x-sv4cpio
sv4crc application-x-sv4crc
svc application-vnd.dvb.service
svd application-vnd.svd
svg image-svg+xml
svgz image-svg+xml
swa application-x-director
sw chemical-x-swissprot
swf application-x-shockwave-flash
swfl application-x-shockwave-flash
swi application-vnd.arastra.swi
sxc application-vnd.sun.xml.calc
sxd application-vnd.sun.xml.draw
sxg application-vnd.sun.xml.writer.global
sxi application-vnd.sun.xml.impress
sxm application-vnd.sun.xml.math
sxw application-vnd.sun.xml.writer
t3 application-x-t3vm-image
taglet application-vnd.mynfc
tao application-vnd.tao.intent-module-archive
tar application-x-tar
taz application-x-gtar
tcap application-vnd.3gpp2.tcap
tcl text-x-tcl
teacher application-vnd.smart.teacher
tei application-tei+xml
teicorpus application-tei+xml
texi application-x-texinfo
texinfo application-x-texinfo
tex text-x-tex
text text-plain
tfi application-thraud+xml
tfm application-x-tex-tfm
tga image-x-tga
tgf chemical-x-mdl-tgf
tgz application-x-gtar
thmx application-vnd.ms-officetheme
tiff image-tiff
tif image-tiff
tk text-x-tcl
tmo application-vnd.tmobile-livetv
tm text-texmacs
torrent application-x-bittorrent
tpl application-vnd.groove-tool-template
tpt application-vnd.trid.tpt
tra application-vnd.trueapp
trm application-x-msterminal
tr text-troff
tsd application-timestamped-data
tsp application-dsptype
ts video
tsv text-tab-separated-values
ttc application-x-font-ttf
t text-troff
ttf application-x-font-ttf
ttl text-turtle
twd application-vnd.simtech-mindmapper
twds application-vnd.simtech-mindmapper
txd application-vnd.genomatix.tuxedo
txf application-vnd.mobius.txf
txt text-plain
u32 application-x-authorware-bin
udeb application-x-debian-package
ufd application-vnd.ufdl
ufdl application-vnd.ufdl
uls text-iuls
ulx application-x-glulx
umj application-vnd.umajin
unityweb application-vnd.unity
uoml application-vnd.uoml+xml
uris text-uri-list
uri text-uri-list
urls text-uri-list
ustar application-x-ustar
utz application-vnd.uiq.theme
uu text-x-uuencode
uva audio-vnd.dece.audio
uvd application-vnd.dece.data
uvf application-vnd.dece.data
uvg image-vnd.dece.graphic
uvh video
uvi image-vnd.dece.graphic
uvm video
uvp video
uvs video
uvt application-vnd.dece.ttml+xml
uvu video
uvva audio-vnd.dece.audio
uvvd application-vnd.dece.data
uvvf application-vnd.dece.data
uvvg image-vnd.dece.graphic
uvvh video
uvvi image-vnd.dece.graphic
uvvm video
uvvp video
uvvs video
uvvt application-vnd.dece.ttml+xml
uvvu video
uvv video
uvvv video
uvvx application-vnd.dece.unspecified
uvvz application-vnd.dece.zip
uvx application-vnd.dece.unspecified
uvz application-vnd.dece.zip
val chemical-x-ncbi-asn1-binary
vcard text-vcard
vcd application-x-cdlink
vcf text-x-vcard
vcg application-vnd.groove-vcard
vcs text-x-vcalendar
vcx application-vnd.vcx
vis application-vnd.visionary
viv video
vmd chemical-x-vmd
vms chemical-x-vamas-iso14976
vob video
vor application-vnd.stardivision.writer
vox application-x-authorware-bin
vrml model-vrml
vrm x-world-x-vrml
vsd application-vnd.visio
vsf application-vnd.vsf
vss application-vnd.visio
vst application-vnd.visio
vsw application-vnd.visio
vtu model-vnd.vtu
vxml application-voicexml+xml
w3d application-x-director
wad application-x-doom
wav audio-x-wav
wax audio-x-ms-wax
wbmp image-vnd.wap.wbmp
wbs application-vnd.criticaltools.wbs+xml
wbxml application-vnd.wap.wbxml
wcm application-vnd.ms-works
wdb application-vnd.ms-works
wdp image-vnd.ms-photo
weba audio-webm
webm video
webp image-webp
wg application-vnd.pmi.widget
